run_label,packet,path_index,timestamp,current_location,current_location_ip,decision,introduced_delay,transition_delay,reason,expected_endresult,hitcount
original,Packet #96 [154]: 192.0.0.8 (80) -[6]-> 192.0.0.37 (80) [EPacketDecision.ACCEPT],0,0,C1,192.0.0.8,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,154
original,Packet #96 [154]: 192.0.0.8 (80) -[6]-> 192.0.0.37 (80) [EPacketDecision.ACCEPT],0,3.8,SW0,192.0.0.1,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,154
original,Packet #96 [154]: 192.0.0.8 (80) -[6]-> 192.0.0.37 (80) [EPacketDecision.ACCEPT],0,7.6,R0,"192.0.0.35,192.0.0.13",EPacketDecision.ACCEPT,77.224,3.8,'default router decision',EPacketDecision.ACCEPT,154
original,Packet #96 [154]: 192.0.0.8 (80) -[6]-> 192.0.0.37 (80) [EPacketDecision.ACCEPT],0,88.624,SW5,192.0.0.34,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,154
original,Packet #96 [154]: 192.0.0.8 (80) -[6]-> 192.0.0.37 (80) [EPacketDecision.ACCEPT],0,92.42399999999999,C3,192.0.0.37,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,154
original,Packet #97 [13]: 192.0.0.8 (34980) -[17]-> 192.0.0.37 (34980) [EPacketDecision.ACCEPT],0,0,C1,192.0.0.8,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,13
original,Packet #97 [13]: 192.0.0.8 (34980) -[17]-> 192.0.0.37 (34980) [EPacketDecision.ACCEPT],0,3.8,SW0,192.0.0.1,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,13
original,Packet #97 [13]: 192.0.0.8 (34980) -[17]-> 192.0.0.37 (34980) [EPacketDecision.ACCEPT],0,7.6,R0,"192.0.0.35,192.0.0.13",EPacketDecision.ACCEPT,77.224,3.8,'default router decision',EPacketDecision.ACCEPT,13
original,Packet #97 [13]: 192.0.0.8 (34980) -[17]-> 192.0.0.37 (34980) [EPacketDecision.ACCEPT],0,88.624,SW5,192.0.0.34,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,13
original,Packet #97 [13]: 192.0.0.8 (34980) -[17]-> 192.0.0.37 (34980) [EPacketDecision.ACCEPT],0,92.42399999999999,C3,192.0.0.37,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,13
original,Packet #98 [56]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,0,C1,192.0.0.8,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,56
original,Packet #98 [56]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,3.8,SW0,192.0.0.1,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,56
original,Packet #98 [56]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,7.6,SW1,192.0.0.2,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,56
original,Packet #98 [56]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,11.399999999999999,SW2,192.0.0.3,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,56
original,Packet #98 [56]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,15.2,SW3,192.0.0.4,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,56
original,Packet #98 [56]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,19.0,R1,"192.0.0.67,192.0.0.14",EPacketDecision.ACCEPT,75.736,3.8,'default router decision',EPacketDecision.ACCEPT,56
original,Packet #98 [56]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,98.536,SW7,192.0.0.66,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,56
original,Packet #98 [56]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,102.336,SW6,192.0.0.65,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,56
original,Packet #98 [56]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,106.136,C4,192.0.0.68,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,56
original,Packet #99 [129]: 192.0.0.8 (443) -[6]-> 192.0.0.69 (443) [EPacketDecision.ACCEPT],0,0,C1,192.0.0.8,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,129
original,Packet #99 [129]: 192.0.0.8 (443) -[6]-> 192.0.0.69 (443) [EPacketDecision.ACCEPT],0,3.8,SW0,192.0.0.1,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,129
original,Packet #99 [129]: 192.0.0.8 (443) -[6]-> 192.0.0.69 (443) [EPacketDecision.ACCEPT],0,7.6,SW1,192.0.0.2,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,129
original,Packet #99 [129]: 192.0.0.8 (443) -[6]-> 192.0.0.69 (443) [EPacketDecision.ACCEPT],0,11.399999999999999,SW2,192.0.0.3,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,129
original,Packet #99 [129]: 192.0.0.8 (443) -[6]-> 192.0.0.69 (443) [EPacketDecision.ACCEPT],0,15.2,SW3,192.0.0.4,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,129
original,Packet #99 [129]: 192.0.0.8 (443) -[6]-> 192.0.0.69 (443) [EPacketDecision.ACCEPT],0,19.0,R1,"192.0.0.67,192.0.0.14",EPacketDecision.ACCEPT,75.736,3.8,'default router decision',EPacketDecision.ACCEPT,129
original,Packet #99 [129]: 192.0.0.8 (443) -[6]-> 192.0.0.69 (443) [EPacketDecision.ACCEPT],0,98.536,SW7,192.0.0.66,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,129
original,Packet #99 [129]: 192.0.0.8 (443) -[6]-> 192.0.0.69 (443) [EPacketDecision.ACCEPT],0,102.336,C5,192.0.0.69,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,129
original,Packet #100 [181]: 192.0.0.8 (4840) -[6]-> 192.0.0.36 (4840) [EPacketDecision.ACCEPT],0,0,C1,192.0.0.8,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,181
original,Packet #100 [181]: 192.0.0.8 (4840) -[6]-> 192.0.0.36 (4840) [EPacketDecision.ACCEPT],0,3.8,SW0,192.0.0.1,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,181
original,Packet #100 [181]: 192.0.0.8 (4840) -[6]-> 192.0.0.36 (4840) [EPacketDecision.ACCEPT],0,7.6,R0,"192.0.0.35,192.0.0.13",EPacketDecision.ACCEPT,77.224,3.8,'default router decision',EPacketDecision.ACCEPT,181
original,Packet #100 [181]: 192.0.0.8 (4840) -[6]-> 192.0.0.36 (4840) [EPacketDecision.ACCEPT],0,88.624,SW5,192.0.0.34,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,181
original,Packet #100 [181]: 192.0.0.8 (4840) -[6]-> 192.0.0.36 (4840) [EPacketDecision.ACCEPT],0,92.42399999999999,SW4,192.0.0.33,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,181
original,Packet #100 [181]: 192.0.0.8 (4840) -[6]-> 192.0.0.36 (4840) [EPacketDecision.ACCEPT],0,96.22399999999999,C2,192.0.0.36,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,181
original,Packet #101 [339]: 192.0.0.8 (80) -[6]-> 192.0.0.36 (80) [EPacketDecision.ACCEPT],0,0,C1,192.0.0.8,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,339
original,Packet #101 [339]: 192.0.0.8 (80) -[6]-> 192.0.0.36 (80) [EPacketDecision.ACCEPT],0,3.8,SW0,192.0.0.1,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,339
original,Packet #101 [339]: 192.0.0.8 (80) -[6]-> 192.0.0.36 (80) [EPacketDecision.ACCEPT],0,7.6,R0,"192.0.0.35,192.0.0.13",EPacketDecision.ACCEPT,77.224,3.8,'default router decision',EPacketDecision.ACCEPT,339
original,Packet #101 [339]: 192.0.0.8 (80) -[6]-> 192.0.0.36 (80) [EPacketDecision.ACCEPT],0,88.624,SW5,192.0.0.34,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,339
original,Packet #101 [339]: 192.0.0.8 (80) -[6]-> 192.0.0.36 (80) [EPacketDecision.ACCEPT],0,92.42399999999999,SW4,192.0.0.33,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,339
original,Packet #101 [339]: 192.0.0.8 (80) -[6]-> 192.0.0.36 (80) [EPacketDecision.ACCEPT],0,96.22399999999999,C2,192.0.0.36,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,339
original,Packet #102 [188]: 192.0.0.8 (4840) -[6]-> 192.0.0.37 (4840) [EPacketDecision.ACCEPT],0,0,C1,192.0.0.8,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,188
original,Packet #102 [188]: 192.0.0.8 (4840) -[6]-> 192.0.0.37 (4840) [EPacketDecision.ACCEPT],0,3.8,SW0,192.0.0.1,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,188
original,Packet #102 [188]: 192.0.0.8 (4840) -[6]-> 192.0.0.37 (4840) [EPacketDecision.ACCEPT],0,7.6,R0,"192.0.0.35,192.0.0.13",EPacketDecision.ACCEPT,77.224,3.8,'default router decision',EPacketDecision.ACCEPT,188
original,Packet #102 [188]: 192.0.0.8 (4840) -[6]-> 192.0.0.37 (4840) [EPacketDecision.ACCEPT],0,88.624,SW5,192.0.0.34,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,188
original,Packet #102 [188]: 192.0.0.8 (4840) -[6]-> 192.0.0.37 (4840) [EPacketDecision.ACCEPT],0,92.42399999999999,C3,192.0.0.37,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,188
original,Packet #103 [354]: 192.0.0.8 (443) -[6]-> 192.0.0.37 (443) [EPacketDecision.ACCEPT],0,0,C1,192.0.0.8,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,354
original,Packet #103 [354]: 192.0.0.8 (443) -[6]-> 192.0.0.37 (443) [EPacketDecision.ACCEPT],0,3.8,SW0,192.0.0.1,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,354
original,Packet #103 [354]: 192.0.0.8 (443) -[6]-> 192.0.0.37 (443) [EPacketDecision.ACCEPT],0,7.6,R0,"192.0.0.35,192.0.0.13",EPacketDecision.ACCEPT,77.224,3.8,'default router decision',EPacketDecision.ACCEPT,354
original,Packet #103 [354]: 192.0.0.8 (443) -[6]-> 192.0.0.37 (443) [EPacketDecision.ACCEPT],0,88.624,SW5,192.0.0.34,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,354
original,Packet #103 [354]: 192.0.0.8 (443) -[6]-> 192.0.0.37 (443) [EPacketDecision.ACCEPT],0,92.42399999999999,C3,192.0.0.37,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,354
original,Packet #104 [214]: 192.0.0.8 (34980) -[17]-> 192.0.0.37 (34980) [EPacketDecision.ACCEPT],0,0,C1,192.0.0.8,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,214
original,Packet #104 [214]: 192.0.0.8 (34980) -[17]-> 192.0.0.37 (34980) [EPacketDecision.ACCEPT],0,3.8,SW0,192.0.0.1,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,214
original,Packet #104 [214]: 192.0.0.8 (34980) -[17]-> 192.0.0.37 (34980) [EPacketDecision.ACCEPT],0,7.6,R0,"192.0.0.35,192.0.0.13",EPacketDecision.ACCEPT,77.224,3.8,'default router decision',EPacketDecision.ACCEPT,214
original,Packet #104 [214]: 192.0.0.8 (34980) -[17]-> 192.0.0.37 (34980) [EPacketDecision.ACCEPT],0,88.624,SW5,192.0.0.34,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,214
original,Packet #104 [214]: 192.0.0.8 (34980) -[17]-> 192.0.0.37 (34980) [EPacketDecision.ACCEPT],0,92.42399999999999,C3,192.0.0.37,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,214
original,Packet #105 [157]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,0,C1,192.0.0.8,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,157
original,Packet #105 [157]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,3.8,SW0,192.0.0.1,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,157
original,Packet #105 [157]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,7.6,SW1,192.0.0.2,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,157
original,Packet #105 [157]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,11.399999999999999,SW2,192.0.0.3,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,157
original,Packet #105 [157]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,15.2,SW3,192.0.0.4,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,157
original,Packet #105 [157]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,19.0,R1,"192.0.0.67,192.0.0.14",EPacketDecision.ACCEPT,75.736,3.8,'default router decision',EPacketDecision.ACCEPT,157
original,Packet #105 [157]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,98.536,SW7,192.0.0.66,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,157
original,Packet #105 [157]: 192.0.0.8 (34980) -[17]-> 192.0.0.68 (34980) [EPacketDecision.ACCEPT],0,102.336,SW6,192.0.0.65,EPacketDecision.ACCEPT,0.0,3.8,'no other action specified...',EPacketDecision.ACCEPT,157
